  PID TTY           TIME CMD
  362 ??         0:09.90 /usr/sbin/systemstats --daemon
  366 ??         1:10.74 /usr/libexec/configd
  368 ??         3:31.01 /System/Library/CoreServices/powerd.bundle/powerd
  369 ??         0:00.41 /usr/libexec/IOMFB_bics_daemon
  377 ??         0:00.03 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  379 ??         0:02.82 /usr/libexec/watchdogd
  383 ??        16:40.71 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  385 ??         0:01.27 /usr/libexec/kernelmanagerd
  386 ??         0:40.29 /usr/libexec/diskarbitrationd
  391 ??         0:10.41 /usr/sbin/syslogd
  393 ??         0:09.45 /usr/libexec/thermalmonitord
  394 ??         1:02.54 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  395 ??         4:29.29 /usr/libexec/opendirectoryd
  397 ??         0:54.53 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  398 ??         1:36.28 /System/Library/CoreServices/launchservicesd
  399 ??         0:03.31 /usr/libexec/timed
  400 ??         0:33.43 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  401 ??         7:13.21 /usr/sbin/securityd -i
  403 ??         2:54.51 /usr/libexec/locationd
  404 ??         0:18.97 /usr/libexec/nesessionmanager
  406 ??         0:00.39 autofsd
  407 ??         1:57.76 /usr/libexec/dasd
  408 ??         0:00.28 /usr/libexec/corerepaird
  410 ??         0:27.52 /usr/sbin/distnoted daemon
  414 ??         0:01.60 /System/Library/CoreServices/logind
  415 ??         0:00.83 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  416 ??         0:00.21 /usr/sbin/KernelEventAgent
  420 ??         8:28.17 /usr/sbin/bluetoothd
  421 ??         2:40.23 /usr/sbin/notifyd
  423 ??         2:38.80 /usr/libexec/corebrightnessd --launchd
  424 ??         0:02.81 /usr/libexec/AirPlayXPCHelper
  425 ??         0:15.95 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  428 ??       283:23.27 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  429 ??         1:28.23 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
  430 ??         3:40.62 /usr/sbin/cfprefsd daemon
  431 ??         4:47.54 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  435 ??         0:07.65 /System/Library/CoreServices/coreservicesd
  436 ??        14:37.50 /usr/libexec/runningboardd
  437 ??        10:19.98 /usr/libexec/trustd
  438 ??        11:49.00 /usr/sbin/coreaudiod
  444 ??         0:00.66 /usr/libexec/apfsd
  445 ??         0:11.07 /usr/libexec/nsurlsessiond --privileged
  447 ??         0:55.13 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  449 ??         0:17.00 /usr/libexec/lsd runAsRoot
  453 ??         0:20.92 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  458 ??        14:15.12 /usr/libexec/airportd
  459 ??         0:06.07 /usr/libexec/eligibilityd
  462 ??         0:03.05 /usr/sbin/distnoted agent
  463 ??         0:02.89 /usr/sbin/distnoted agent
  466 ??         1:52.06 /usr/libexec/symptomsd
  473 ??         0:02.97 /usr/sbin/distnoted agent
  474 ??         0:07.94 /usr/libexec/ApplicationFirewall/socketfilterfw
  475 ??         0:11.57 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  530 ??         4:36.60 /usr/sbin/mDNSResponder
  533 ??         0:14.40 /System/Library/CoreServices/TimeMachine/backupd
  537 ??         0:02.62 Core Audio Driver (CiscoAudioDevice.driver)
  538 ??         4:35.90 /usr/libexec/syspolicyd
  540 ??         0:10.77 /usr/sbin/WirelessRadioManagerd
  543 ??         0:09.40 /usr/libexec/audiomxd
  545 ??         0:02.77 /usr/sbin/distnoted agent
  548 ??         0:02.66 /usr/sbin/mDNSResponderHelper
  550 ??         0:02.75 /usr/sbin/distnoted agent
  552 ??         0:42.52 /usr/libexec/audioclocksyncd
  553 ??        15:35.70 /usr/sbin/appleh13camerad
  562 ??         0:30.17 /System/Library/CoreServices/osanalyticshelper server-init
  564 ??         0:00.98 /usr/sbin/cupsd -l
  566 ??         0:20.17 /usr/libexec/modelmanagerd
  569 ??         0:00.54 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  570 ??         0:02.73 /usr/sbin/distnoted agent
  573 ??         0:39.48 /usr/libexec/aned
  576 ??         0:02.44 /System/Library/CoreServices/appleeventsd --server
  580 ??         1:30.24 /usr/libexec/searchpartyd
  583 ??         0:04.85 Core Audio Driver (MSTeamsAudioDevice.driver)
  584 ??         0:00.84 Core Audio Driver (OculusRemoteDesktopASP.driver)
  585 ??         0:00.22 Core Audio Driver (ParrotAudioPlugin.driver)
  587 ??         0:02.69 /usr/sbin/distnoted agent
  590 ??        26:34.69 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000cfe com.apple.DriverKit-AppleBCMWLAN
  593 ??         0:00.08 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000efb com.apple.DriverKit-IOUserDockChannelSerial
  594 ??         0:00.40 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000f04 com.apple.AppleUserHIDDrivers
  602 ??        11:10.69 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  607 ??         0:02.67 /usr/sbin/distnoted agent
  619 ??         0:00.01 /usr/local/sbin/uplink
  623 ??         0:15.66 /Library/GoogleCorpSupport/bin/collectd -f -C /etc/collectd/collectd.conf
  624 ??         0:05.66 /Library/GoogleCorpSupport/bin/nsscacheclient -daemon
  629 ??         0:20.30 /Library/GoogleCorpSupport/netsli-prober/netsli-prober --probe_config=/Library/GoogleCorpSupport/netsli-prober/config.textproto --ignore_machine_type=true
  630 ??         0:00.39 /Library/GoogleCorpSupport/archivist/bin/gBackupd
  633 ??         3:17.83 /Applications/iHELM.app/Contents/MacOS/iHELMDNS --flagfile=/etc/ihelm/ihelmdns.conf
  634 ??         0:53.83 /Library/GoogleCorpSupport/bin/crankd.par /dev/fd/63 --config /Library/Preferences/com.google.corp.gmac.crankd.plist
  638 ??         3:37.68 /Applications/iHELM.app/Contents/MacOS/iHELMNetstat.app/Contents/MacOS/iHELMNetstat
  639 ??         3:41.08 /Library/GoogleCorpSupport/bin/murdockd -nopublic_murdockz
  640 ??         0:19.23 /usr/local/bin/fix serve
  644 ??         0:11.67 /Library/Application Support/Citrix Receiver/Uninstall Citrix Workspace.app/Contents/Library/LaunchServices/com.citrix.ReceiverUninstallHelper
  646 ??         0:41.21 /usr/local/sbin/connectd --log_dir /var/log/google --dial_timeout=0
  648 ??         4:57.66 /usr/local/bin/fleetspeakd --flagfile=/etc/fleetspeak/fleetspeakd.flags
  649 ??         0:00.01 /bin/bash /usr/local/sbin/exec-beyondcorp-dns.sh
  653 ??         0:15.23 /usr/libexec/wifianalyticsd
  654 ??        74:32.09 /System/Library/CoreServices/ReportCrash daemon
  657 ??         2:06.83 /usr/local/sbin/beyondcorp-dns -config-path=/etc/beyondcorp-dns.conf -logtostderr
  664 ??         4:48.66 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  665 ??         0:02.72 /usr/sbin/distnoted agent
  674 ??         0:01.78 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  676 ??         0:02.69 /usr/sbin/distnoted agent
  682 ??        12:03.53 /Library/SystemExtensions/96A1A66E-6834-410E-AA60-3D1649465EB2/com.google.santa.daemon.systemextension/Contents/MacOS/com.google.santa.daemon
  683 ??        99:54.54 /Library/SystemExtensions/AEFA2617-F467-466A-97D8-9769BB6C6131/com.crowdstrike.falcon.Agent.systemextension/Contents/MacOS/com.crowdstrike.falcon.Agent
  689 ??         0:00.45 /usr/libexec/cameracaptured
  690 ??         0:28.72 uplink-proxy --config_path=/etc/uplink/proxy.conf --port=999
  691 ??         0:28.03 uplink-agent --minimal=false --keeper_log_dir /var/log --keeper_log_fd 3 --system_proxy_pid 690
  692 ??         0:00.61 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  694 ??         0:17.62 /usr/libexec/rosetta/oahd
  697 ??         7:16.64 /System/Library/PrivateFrameworks/EcosystemAnalytics.framework/Support/ecosystemanalyticsd
  698 ??         0:02.17 /Library/GoogleCorpSupport/Archivist/bin/gBackupScheduler
  746 ??         0:31.36 /Applications/Santa.app/Contents/MacOS/santametricservice --syslog
  768 ??         0:00.06 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x10000100a com.apple.IOUserBluetoothSerialDriver
  769 ??         0:00.05 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x10000100c com.apple.IOUserBluetoothSerialDriver
  785 ??         0:12.14 /Applications/Santa.app/Contents/MacOS/santasyncservice --syslog
  786 ??         0:03.36 automountd
  789 ??         0:43.22 /usr/sbin/distnoted agent
  796 ??         3:52.62 /usr/sbin/cfprefsd agent
  799 ??         0:25.48 /usr/libexec/UserEventAgent (Aqua)
  803 ??         0:27.95 /usr/libexec/ContinuityCaptureAgent server
  808 ??         0:08.98 /usr/sbin/universalaccessd launchd -s
  810 ??         1:52.77 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  811 ??         0:02.45 /usr/libexec/pboard
  816 ??         0:15.79 /usr/libexec/lsd
  817 ??         2:05.09 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  819 ??         0:06.15 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  828 ??         1:57.23 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  834 ??         1:22.27 /usr/libexec/secd
  835 ??         4:26.74 /usr/libexec/nsurlsessiond
  836 ??         3:12.19 /usr/libexec/rapportd
  837 ??         0:10.71 /System/Library/CoreServices/lockoutagent
  838 ??         0:29.09 /usr/sbin/usernoted
  842 ??         0:02.73 /usr/sbin/distnoted agent
  843 ??         9:23.75 /Applications/Visual Studio Code.app/Contents/MacOS/Electron
  844 ??         3:07.84 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  845 ??         1:09.93 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  848 ??         0:23.66 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  849 ??         3:16.82 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  853 ??         0:05.51 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  859 ??         1:56.00 /usr/libexec/trustd --agent
  864 ??         3:45.91 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  868 ??         2:00.98 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  872 ??         0:04.10 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  874 ??         0:08.69 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  885 ??         0:05.26 /usr/sbin/filecoordinationd
  888 ??         0:00.66 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  895 ??         0:24.95 /usr/libexec/nearbyd
  901 ??         0:02.97 /System/Library/CoreServices/sharedfilelistd
  902 ??         3:41.22 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  904 ??         4:45.41 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  909 ??         0:00.32 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
  910 ??         0:04.11 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  919 ??         1:19.79 /usr/libexec/sharingd
  923 ??         0:17.08 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  924 ??         0:01.07 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/PlugIns/ACCFinderSync.appex/Contents/MacOS/ACCFinderSync -AppleLanguages ("en")
  926 ??         0:38.97 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2FsbHBhcGVyLmV4dGVuc2lvbi5hZXJpYWxzIn0=
  928 ??         0:07.66 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  929 ??         0:00.46 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2FsbHBhcGVyLmV4dGVuc2lvbi5pbWFnZSIsInR5cGUiOjF9
  931 ??         0:04.21 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  938 ??         0:02.71 /usr/sbin/distnoted agent
  940 ??         1:20.38 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  948 ??         0:03.43 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  953 ??         0:02.24 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  955 ??         0:04.40 /usr/libexec/avconferenced
  974 ??         0:01.14 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  988 ??         0:31.77 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  990 ??         0:03.52 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en")
 1020 ??         0:00.17 /System/Library/ExtensionKit/Extensions/HostInferenceProviderService.appex/Contents/MacOS/HostInferenceProviderService -LaunchArguments eyJ0eXBlIjo4LCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuSG9zdEluZmVyZW5jZVByb3ZpZGVyU2VydmljZSJ9
 1022 ??         0:02.74 /usr/sbin/distnoted agent
 1025 ??         0:03.03 /System/Library/CoreServices/SubmitDiagInfo server-init
 1028 ??         0:56.35 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
 1030 ??         0:01.92 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
 1049 ??         1:38.07 /usr/libexec/gamepolicyd
 1050 ??         0:20.06 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
 1054 ??         0:10.46 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
 1056 ??         0:00.13 /Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/stuartgano/Library/Application Support/Code/Crashpad --url=appcenter://code?aid=de75e3cc-e22f-4f42-a03f-1409c21d8af8&uid=bf8a8ee9-c744-4b58-9d34-ecd6cbdec4f8&iid=bf8a8ee9-c744-4b58-9d34-ecd6cbdec4f8&sid=bf8a8ee9-c744-4b58-9d34-ecd6cbdec4f8 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.105.1 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=37.6.0 --handshake-fd=20
 1058 ??        41:30.59 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (GPU).app/Contents/MacOS/Code Helper (GPU) --type=gpu-process --user-data-dir=/Users/stuartgano/Library/Application Support/Code --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAMAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=1718379636,r,12522765601481051780,9162272023863168044,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --seatbelt-client=32
 1060 ??         0:15.49 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=network --user-data-dir=/Users/stuartgano/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,12522765601481051780,9162272023863168044,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --seatbelt-client=32
 1069 ??         0:23.71 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
 1071 ??         0:01.15 /System/Library/CoreServices/FolderActionsDispatcher.app/Contents/MacOS/FolderActionsDispatcher launchd
 1073 ??         0:00.19 /Applications/Citrix Workspace.app/Contents/CitrixWorkspaceApps/SafariAdapter.app/Contents/MacOS/SafariAdapter
 1075 ??         0:04.93 /Applications/gMenu.app/Contents/MacOS/gmenu
 1082 ??         0:05.74 /System/Library/Image Capture/Support/icdd
 1083 ??         0:19.28 com.apple.Passwords.MenuBarExtra
 1085 ??         0:04.33 /Applications/Santa.app/Contents/MacOS/Santa --syslog
 1086 ??         0:00.41 Contents/Frameworks/Squirrel.framework/Versions/A/Squirrel background
 1092 ??         0:01.31 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
 1093 ??         0:01.45 /Applications/Falcon.app/Contents/Library/LaunchServices/Falcon Notifications.app/Contents/MacOS/Falcon Notifications
 1094 ??         1:06.05 /Applications/Citrix Workspace.app/Contents/CitrixWorkspaceApps/Citrix Workspace Helper.app/Contents/MacOS/Citrix Workspace Helper
 1096 ??         0:58.01 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Contents/MacOS/Creative Cloud --showwindow=false --onOSstartup=true
 1097 ??         0:00.10 /usr/bin/open -W /Applications/Pieces OS.app
 1099 ??         0:04.69 /System/Library/CoreServices/diagnostics_agent
 1100 ??         0:05.64 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
 1102 ??         0:18.99 /Applications/Citrix Workspace.app/Contents/CitrixWorkspaceApps/ServiceRecords.app/Contents/MacOS/ServiceRecords
 1104 ??         0:00.12 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
 1106 ??        40:29.34 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
 1109 ??         0:00.25 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1117 ??         2:30.51 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Helpers/AdobeResourceSynchronizer.app/Contents/MacOS/AdobeResourceSynchronizer
 1118 ??        45:03.17 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/stuartgano/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1760636423454537 --launch-time-ticks=79119705 --shared-files --field-trial-handle=1718379636,r,12522765601481051780,9162272023863168044,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --vscode-window-config=vscode:ffa5883d-ea18-48e8-bb90-4ef37482128e --seatbelt-client=62
 1119 ??        35:48.66 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/stuartgano/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1760636423454537 --launch-time-ticks=79167812 --shared-files --field-trial-handle=1718379636,r,12522765601481051780,9162272023863168044,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --vscode-window-config=vscode:641e0153-e976-4312-bac5-b404fd2a57eb --seatbelt-client=62
